"idobservation","nomedevice","tempo1","tempo2","tempo3","tempo4","tempo5","timestamp_column"
866348,"images",0.995941,1.951155,0.000031,0.254861,2.496144,"2024-09-25 22:04:16"
890857,"images",0.790375,1.542782,0.000032,0.243523,3.709504,"2024-09-26 03:49:45"
859448,"images",0.991854,1.447638,0.000032,0.250545,2.666665,"2024-09-25 20:27:30"
864600,"images",0.975270,1.315164,0.000032,0.243465,3.215712,"2024-09-25 21:41:37"
871627,"images",0.994590,1.749626,0.000033,0.253721,4.314612,"2024-09-25 23:19:30"
869999,"images",0.921306,0.880257,0.000030,0.247034,3.685672,"2024-09-25 22:55:16"
883200,"images",3.341924,0.794037,0.000037,0.245404,4.394453,"2024-09-26 02:02:48"
860355,"images",0.765080,1.646493,0.000028,0.245752,3.114784,"2024-09-25 20:40:26"
881866,"images",1.007582,1.216229,0.000034,0.250836,2.824987,"2024-09-26 01:42:18"
891988,"images",0.957562,0.776258,0.000040,0.243189,3.054640,"2024-09-26 04:07:09"
855118,"images",0.931557,1.350416,0.000033,0.248199,2.827055,"2024-09-25 19:26:04"
871337,"images",1.048106,2.071568,0.000031,0.244116,4.074508,"2024-09-25 23:14:49"
859186,"images",0.992283,1.445429,0.000031,0.246343,4.282242,"2024-09-25 20:23:32"
870686,"images",0.923993,1.378735,0.000033,0.248274,4.205578,"2024-09-25 23:05:49"
861012,"images",0.946898,1.452824,0.000032,0.248617,4.156747,"2024-09-25 20:48:12"
865385,"images",1.526489,1.489426,0.000033,0.278962,3.841840,"2024-09-25 21:50:25"
858682,"images",0.922081,1.790575,0.000030,0.253941,4.233073,"2024-09-25 20:15:55"
872065,"images",0.960791,1.332922,0.000030,0.255002,2.551875,"2024-09-25 23:25:53"
882098,"images",1.017196,1.256482,0.000032,0.241755,3.816384,"2024-09-26 01:46:33"
869372,"images",0.985207,1.450421,0.000033,0.253413,4.191661,"2024-09-25 22:45:49"
857035,"images",1.020246,1.354682,0.000032,0.242023,2.425692,"2024-09-25 19:52:58"
856013,"images",0.987237,0.908398,0.000030,0.249381,3.035302,"2024-09-25 19:39:32"
855288,"images",0.967126,1.414895,0.000034,0.248051,3.197387,"2024-09-25 19:28:47"
862636,"images",0.990619,0.888474,0.000032,0.283489,2.322962,"2024-09-25 21:11:23"
851633,"images",0.940666,0.916425,0.000032,0.247398,3.223636,"2024-09-25 18:36:57"
